,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
1091708,2019/01/01 00:00:00+00,2019,1,1,port183,Buenaventura,Colombia,COL,3,5,1,0,0,9,9,22488.1764923772,54067.8368530606,5246.34579460821,0.0,0.0,81802.359140046,81802.359140046,7318.89765825863,0.0,0.0,0.0,0.0,7318.89765825863,7318.89765825863,1091709
1091709,2019/01/02 00:00:00+00,2019,1,2,port183,Buenaventura,Colombia,COL,2,0,0,0,0,2,2,3705.7404372764,0.0,0.0,0.0,0.0,3705.7404372764,3705.7404372764,10396.9373464958,0.0,0.0,0.0,0.0,10396.9373464958,10396.9373464958,1091710
1091710,2019/01/03 00:00:00+00,2019,1,3,port183,Buenaventura,Colombia,COL,3,1,1,1,0,6,6,10215.2446961149,27428.1874643108,364.92684897678,497.281342797367,0.0,38505.6403521998,38505.6403521998,10378.0077489678,0.0,0.0,0.0,0.0,10378.0077489678,10378.0077489678,1091711
1091711,2019/01/04 00:00:00+00,2019,1,4,port183,Buenaventura,Colombia,COL,2,1,0,0,1,3,4,2375.47446225642,15579.7881250598,0.0,0.0,1541.10799690071,17955.2625873163,19496.370584217,428.03892818619,0.0,0.0,0.0,0.0,428.03892818619,428.03892818619,1091712
1091712,2019/01/05 00:00:00+00,2019,1,5,port183,Buenaventura,Colombia,COL,2,0,1,0,0,3,3,7071.14001665912,0.0,12702.544720656,0.0,0.0,19773.6847373151,19773.6847373151,24071.1721687982,0.0,0.0,0.0,0.0,24071.1721687982,24071.1721687982,1091713
1091713,2019/01/06 00:00:00+00,2019,1,6,port183,Buenaventura,Colombia,COL,3,1,0,1,0,5,5,26953.0527039485,15410.6075797479,0.0,907.432405760592,0.0,43271.092689457,43271.092689457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091714
1091714,2019/01/07 00:00:00+00,2019,1,7,port183,Buenaventura,Colombia,COL,2,0,1,1,0,4,4,8397.66184016579,0.0,4341.12500707153,1104.21090822619,0.0,13842.9977554635,13842.9977554635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091715
1091715,2019/01/08 00:00:00+00,2019,1,8,port183,Buenaventura,Colombia,COL,2,0,0,0,1,2,3,7596.87991748782,0.0,0.0,0.0,5939.77924730466,7596.87991748782,13536.6591647925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091716
1091716,2019/01/09 00:00:00+00,2019,1,9,port183,Buenaventura,Colombia,COL,3,2,0,0,0,5,5,0.0,13240.5637811949,0.0,0.0,0.0,13240.5637811949,13240.5637811949,11859.7922360195,0.0,0.0,0.0,0.0,11859.7922360195,11859.7922360195,1091717
1091717,2019/01/10 00:00:00+00,2019,1,10,port183,Buenaventura,Colombia,COL,3,1,0,1,1,5,6,8777.78386137342,27949.5837243414,0.0,1348.5408136881,0.0,38075.9083994029,38075.9083994029,915.917237340414,0.0,0.0,0.0,1405.14463134714,915.917237340414,2321.06186868756,1091718
1091718,2019/01/11 00:00:00+00,2019,1,11,port183,Buenaventura,Colombia,COL,3,0,0,0,1,3,4,7006.64814800511,0.0,0.0,0.0,0.0,7006.64814800511,7006.64814800511,20096.8394524006,0.0,0.0,0.0,1197.15319312992,20096.8394524006,21293.9926455305,1091719
1091719,2019/01/12 00:00:00+00,2019,1,12,port183,Buenaventura,Colombia,COL,1,1,0,0,1,2,3,11946.6801957164,7548.89199707041,0.0,0.0,3133.21639038532,19495.5721927868,22628.7885831721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091720
1091720,2019/01/13 00:00:00+00,2019,1,13,port183,Buenaventura,Colombia,COL,3,0,0,1,0,4,4,4830.38476152502,0.0,0.0,454.083166228957,0.0,5284.46792775398,5284.46792775398,18666.8255977544,0.0,0.0,0.0,0.0,18666.8255977544,18666.8255977544,1091721
1091721,2019/01/14 00:00:00+00,2019,1,14,port183,Buenaventura,Colombia,COL,1,1,0,0,0,2,2,2176.68475705203,14554.8605772854,0.0,0.0,0.0,16731.5453343375,16731.5453343375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091722
1091722,2019/01/15 00:00:00+00,2019,1,15,port183,Buenaventura,Colombia,COL,1,1,0,0,1,2,3,15580.4081826065,15244.1129334452,0.0,0.0,2501.83794907581,30824.5211160517,33326.3590651275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091723
1091723,2019/01/16 00:00:00+00,2019,1,16,port183,Buenaventura,Colombia,COL,1,1,0,0,1,2,3,0.0,25231.582541268,0.0,0.0,793.160539233531,25231.582541268,26024.7430805015,11057.8350615222,0.0,0.0,0.0,0.0,11057.8350615222,11057.8350615222,1091724
1091724,2019/01/17 00:00:00+00,2019,1,17,port183,Buenaventura,Colombia,COL,5,2,0,0,0,7,7,10639.7165742601,16872.5516172065,0.0,0.0,0.0,27512.2681914666,27512.2681914666,28435.0715574533,0.0,0.0,0.0,0.0,28435.0715574533,28435.0715574533,1091725
1091725,2019/01/18 00:00:00+00,2019,1,18,port183,Buenaventura,Colombia,COL,3,0,0,1,0,4,4,6096.54273909992,0.0,0.0,1594.14928077051,0.0,7690.69201987043,7690.69201987043,20587.0977678926,0.0,0.0,0.0,0.0,20587.0977678926,20587.0977678926,1091726
1091726,2019/01/19 00:00:00+00,2019,1,19,port183,Buenaventura,Colombia,COL,2,1,0,0,1,3,4,17780.9053116569,4985.12167751983,0.0,0.0,1048.47975392258,22766.0269891767,23814.5067430993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091727
1091727,2019/01/20 00:00:00+00,2019,1,20,port183,Buenaventura,Colombia,COL,2,1,0,0,0,3,3,10382.0717783161,5754.12550441259,0.0,0.0,0.0,16136.1972827287,16136.1972827287,7855.87793540762,0.0,0.0,0.0,0.0,7855.87793540762,7855.87793540762,1091728
