"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2023","54.00","55.56","55.56","54.00","0.72K","-1.22%"
"06/07/2023","54.67","54.04","54.73","53.90","42.02K","1.08%"
"06/06/2023","54.08","53.65","54.18","53.65","22.06K","0.61%"
"06/05/2023","53.75","53.56","53.95","53.37","4.85K","1.10%"
"06/02/2023","53.16","54.75","54.75","52.85","7.71K","-1.58%"
"06/01/2023","54.01","54.10","54.27","53.90","7.39K","3.10%"
"05/31/2023","52.39","52.36","52.78","52.19","7.08K","0.73%"
"05/30/2023","52.01","52.47","52.47","51.81","20.21K","-1.82%"
"05/26/2023","52.98","53.85","53.85","52.93","6.29K","-0.84%"
"05/25/2023","53.42","54.55","54.67","53.32","14.27K","-3.11%"
"05/24/2023","55.14","55.07","55.36","55.02","5.38K","0.05%"
"05/23/2023","55.11","55.38","55.69","54.89","3.58K","-0.77%"
"05/22/2023","55.53","55.52","55.72","55.25","14.04K","-0.91%"
"05/19/2023","56.04","56.33","56.47","55.93","8.57K","2.63%"
"05/18/2023","54.61","54.18","54.90","54.14","5.86K","-0.15%"
"05/17/2023","54.69","54.34","54.85","54.09","4.37K","-0.07%"
"05/16/2023","54.73","56.36","56.67","54.58","17.35K","-1.16%"
"05/15/2023","55.37","55.19","55.61","54.62","18.84K","3.45%"
"05/12/2023","53.52","54.09","54.09","53.15","7.30K","0.11%"
"05/11/2023","53.47","53.95","54.29","53.40","9.16K","-1.76%"
"05/10/2023","54.42","54.54","54.59","54.27","1.89K","-0.60%"
"05/09/2023","54.76","54.52","54.76","54.52","2.34K","1.24%"
"05/08/2023","54.08","54.50","54.50","53.86","6.72K","-1.88%"
"05/05/2023","55.12","54.09","55.20","54.00","6.14K","2.41%"
"05/04/2023","53.82","53.34","53.98","53.12","6.50K","-0.51%"
"05/03/2023","54.10","53.54","54.89","53.05","11.06K","-0.77%"
"05/02/2023","54.52","54.16","54.73","54.16","8.95K","0.71%"
"05/01/2023","54.14","54.37","54.37","53.75","9.96K","-0.47%"
"04/28/2023","54.39","54.90","54.90","54.21","13.77K","-1.46%"
"04/27/2023","55.20","55.18","55.94","54.90","4.19K","-1.41%"
"04/26/2023","55.99","55.61","56.75","55.61","3.82K","1.15%"
"04/25/2023","55.35","55.06","55.49","54.84","23.94K","-1.97%"
"04/24/2023","56.46","56.26","57.41","56.16","7.75K","0.93%"
"04/21/2023","55.94","56.62","56.62","55.65","13.06K","-1.45%"
"04/20/2023","56.77","56.91","57.14","56.67","18.06K","-2.48%"
"04/19/2023","58.21","58.13","59.73","58.12","14.43K","-1.07%"
"04/18/2023","58.84","57.80","59.85","57.10","39.84K","1.23%"
"04/17/2023","58.12","56.79","58.25","56.79","17.35K","2.99%"
"04/14/2023","56.44","57.17","57.70","55.82","17.64K","-1.30%"
"04/13/2023","57.18","57.08","57.72","56.57","20.99K","4.06%"
"04/12/2023","54.95","54.78","55.10","54.34","7.70K","0.16%"
"04/11/2023","54.86","54.00","55.12","54.00","18.93K","3.78%"
"04/10/2023","52.86","53.58","53.77","52.62","27.61K","-0.92%"
"04/06/2023","53.35","51.77","53.41","51.67","24.96K","2.08%"
"04/05/2023","52.26","51.80","52.42","51.74","23.15K","2.91%"
"04/04/2023","50.78","50.80","50.98","50.11","10.38K","-0.34%"
"04/03/2023","50.95","51.16","51.50","50.71","39.96K","3.38%"
"03/31/2023","49.29","48.33","49.47","48.23","9.88K","0.23%"
"03/30/2023","49.17","49.24","49.56","48.93","12.57K","0.02%"
"03/29/2023","49.16","49.04","49.18","48.68","32.42K","-2.31%"
"03/28/2023","50.33","50.41","50.45","50.19","3.08K","-1.27%"
"03/27/2023","50.97","52.63","52.63","50.90","10.61K","-1.61%"
"03/24/2023","51.81","50.53","51.89","50.53","5.25K","2.91%"
"03/23/2023","50.34","50.61","50.61","50.20","6.06K","-1.58%"
"03/22/2023","51.15","52.15","52.15","51.08","4.54K","-1.70%"
"03/21/2023","52.03","52.50","52.72","51.67","8.31K","1.15%"
"03/20/2023","51.44","51.09","51.57","50.55","5.13K","0.81%"
"03/17/2023","51.03","50.99","51.28","50.44","7.86K","-1.50%"
"03/16/2023","51.81","51.76","52.28","51.62","15.90K","3.93%"
"03/15/2023","49.85","49.65","50.00","49.34","32.14K","-1.42%"
"03/14/2023","50.57","51.07","51.07","50.45","9.54K","-1.93%"
"03/13/2023","51.57","51.20","51.97","50.90","9.35K","1.11%"
"03/10/2023","51.00","50.85","51.26","50.85","6.26K","1.09%"
"03/09/2023","50.45","50.70","50.86","50.09","12.37K","-0.92%"
"03/08/2023","50.92","51.00","51.27","50.64","9.97K","-3.07%"
"03/07/2023","52.53","51.38","52.72","51.38","11.94K","1.14%"
"03/06/2023","51.94","51.46","52.10","51.46","13.49K","1.35%"
"03/03/2023","51.25","51.06","51.52","51.05","22.07K","-1.59%"
"03/02/2023","52.08","52.57","52.83","52.04","10.38K","-1.55%"
"03/01/2023","52.90","52.23","53.01","51.96","18.31K","-0.68%"
"02/28/2023","53.26","53.94","53.94","53.23","8.08K","-0.99%"
"02/27/2023","53.79","53.54","53.79","53.15","10.00K","-0.11%"
"02/24/2023","53.85","53.62","54.43","53.56","18.55K","-1.36%"
"02/23/2023","54.59","55.19","55.28","54.26","33.51K","-1.30%"
"02/22/2023","55.31","55.28","55.77","55.22","141.11K","1.15%"
"02/21/2023","54.68","54.65","55.45","54.25","63.32K","2.17%"
"02/17/2023","53.52","53.00","53.60","52.95","47.29K","2.96%"
"02/16/2023","51.98","51.10","51.98","51.10","11.60K","2.32%"
"02/15/2023","50.80","51.76","51.76","50.40","19.44K","-3.05%"
"02/14/2023","52.40","51.20","52.70","51.20","20.68K","3.11%"
"02/13/2023","50.82","50.78","51.12","50.27","19.92K","1.16%"
"02/10/2023","50.24","50.17","50.65","50.08","8.72K","0.41%"
"02/09/2023","50.03","49.99","50.13","49.54","15.49K","-0.85%"
"02/08/2023","50.46","50.61","50.63","50.04","45.44K","-1.16%"
"02/07/2023","51.05","50.83","51.05","49.89","24.28K","0.43%"
"02/06/2023","50.83","49.95","50.89","49.24","35.27K","2.19%"
"02/03/2023","49.74","50.37","50.37","49.36","75.99K","-2.70%"
"02/02/2023","51.12","51.20","51.75","50.68","34.47K","0.04%"
"02/01/2023","51.10","52.00","52.00","50.40","61.31K","-2.01%"
"01/31/2023","52.15","49.50","52.30","49.50","118.86K","6.41%"
"01/30/2023","49.01","49.10","49.14","48.65","48.13K","1.18%"
"01/27/2023","48.44","48.13","48.70","48.11","34.42K","1.15%"
"01/26/2023","47.89","47.24","48.02","47.24","35.76K","2.44%"
"01/25/2023","46.75","46.21","46.75","46.05","25.81K","1.81%"
"01/24/2023","45.92","45.37","46.11","45.37","29.60K","0.86%"
"01/23/2023","45.53","44.91","45.77","44.91","39.82K","2.85%"
"01/20/2023","44.27","43.91","44.43","43.69","75.00K","-0.42%"
"01/19/2023","44.46","44.99","44.99","44.13","43.00K","0.72%"
"01/18/2023","44.14","43.90","44.65","43.90","34.98K","2.13%"
"01/17/2023","43.22","42.94","43.52","42.77","172.22K","-0.21%"
"01/13/2023","43.31","42.40","43.54","42.01","34.99K","0.81%"
"01/12/2023","42.96","41.59","43.10","41.40","57.98K","4.58%"
"01/11/2023","41.08","41.61","41.61","40.75","194.58K","-4.20%"
"01/10/2023","42.88","44.54","44.66","42.65","128.41K","-4.03%"
"01/09/2023","44.68","45.75","45.95","44.59","57.96K","-1.40%"
"01/06/2023","45.31","45.92","46.02","45.26","45.91K","-0.76%"
"01/05/2023","45.66","45.77","46.31","45.64","37.68K","-0.41%"
"01/04/2023","45.85","46.63","46.63","45.63","38.05K","-3.53%"
"01/03/2023","47.53","48.49","48.85","47.33","30.06K","-0.64%"
"12/30/2022","47.84","48.55","48.55","47.17","21.79K","-1.50%"
"12/29/2022","48.57","49.30","49.30","48.55","29.48K","-1.79%"
"12/28/2022","49.45","48.62","49.99","48.33","114.22K","3.83%"
"12/27/2022","47.63","49.20","49.22","47.50","94.84K","-3.20%"
"12/23/2022","49.20","48.60","49.20","48.60","201.19K","1.76%"
"12/22/2022","48.35","48.16","48.53","48.10","82.43K","0.02%"
"12/21/2022","48.34","48.30","48.45","48.15","21.79K","0.25%"
"12/20/2022","48.22","47.40","48.40","47.40","93.36K","2.83%"
"12/19/2022","46.90","46.97","47.03","46.50","23.22K","-0.50%"
"12/16/2022","47.13","48.43","48.56","46.79","46.36K","-3.93%"
"12/15/2022","49.06","48.88","49.30","48.72","130.24K","2.49%"
"12/14/2022","47.87","47.63","48.31","47.40","80.32K","-0.46%"
"12/13/2022","48.09","47.71","48.26","47.61","94.68K","0.69%"
"12/12/2022","47.76","46.50","47.80","46.50","101.12K","6.07%"
"12/09/2022","45.03","45.32","45.50","45.00","13.33K","-1.12%"
"12/08/2022","45.53","45.58","45.67","44.91","34.42K","-0.25%"
"12/07/2022","45.65","46.50","46.51","45.37","98.42K","-2.34%"
"12/06/2022","46.74","46.94","47.28","46.62","37.24K","0.44%"
"12/05/2022","46.54","46.66","46.84","46.32","45.24K","0.28%"
"12/02/2022","46.41","46.21","46.91","46.17","164.03K","-1.34%"
"12/01/2022","47.04","48.15","48.15","47.01","69.14K","-3.47%"
"11/30/2022","48.73","48.37","48.74","47.90","73.71K","1.30%"
"11/29/2022","48.11","47.91","48.31","47.70","74.30K","3.51%"
"11/28/2022","46.47","46.24","46.76","46.00","66.96K","-0.67%"
"11/25/2022","46.79","46.50","47.57","46.35","29.91K","0.60%"
"11/23/2022","46.51","45.98","46.56","45.82","30.45K","-1.21%"
"11/22/2022","47.08","46.50","47.12","46.40","125.32K","2.77%"
"11/21/2022","45.81","46.05","46.05","45.35","129.06K","3.18%"
"11/18/2022","44.40","45.10","45.10","44.03","18.07K","-0.11%"
"11/17/2022","44.45","44.47","44.81","44.13","29.91K","-1.24%"
"11/16/2022","45.01","45.26","45.56","44.71","25.65K","-2.16%"
"11/15/2022","46.00","45.04","46.11","44.78","76.40K","-3.05%"
"11/14/2022","47.45","46.90","47.84","46.55","50.81K","-0.49%"
"11/11/2022","47.68","47.83","48.77","47.53","49.10K","0.24%"
"11/10/2022","47.57","46.13","47.87","46.00","26.18K","3.17%"
"11/09/2022","46.11","46.40","46.90","46.02","10.94K","-0.62%"
"11/08/2022","46.40","46.72","46.98","46.01","17.97K","-3.46%"
"11/07/2022","48.06","47.86","48.09","46.67","25.77K","-2.11%"
