,Date,Price,Open,High,Low,Vol.,Change %,portid_rizhao,portname_rizhao,country_rizhao,ISO3_rizhao,portcalls_container_rizhao,portcalls_dry_bulk_rizhao,portcalls_general_cargo_rizhao,portcalls_roro_rizhao,portcalls_tanker_rizhao,portcalls_cargo_rizhao,portcalls_rizhao,import_container_rizhao,import_dry_bulk_rizhao,import_general_cargo_rizhao,import_roro_rizhao,import_tanker_rizhao,import_cargo_rizhao,import_rizhao,export_container_rizhao,export_dry_bulk_rizhao,export_general_cargo_rizhao,export_roro_rizhao,export_tanker_rizhao,export_cargo_rizhao,export_rizhao,ObjectId_rizhao,portid_santos,portname_santos,country_santos,ISO3_santos,portcalls_container_santos,portcalls_dry_bulk_santos,portcalls_general_cargo_santos,portcalls_roro_santos,portcalls_tanker_santos,portcalls_cargo_santos,portcalls_santos,import_container_santos,import_dry_bulk_santos,import_general_cargo_santos,import_roro_santos,import_tanker_santos,import_cargo_santos,import_santos,export_container_santos,export_dry_bulk_santos,export_general_cargo_santos,export_roro_santos,export_tanker_santos,export_cargo_santos,export_santos,ObjectId_santos
1504,2019-01-02,894.75,881.50,897.75,880.75,8.39K,1.39%,port1105,Rizhao,China,CHN,3,4,0,0,0,7,7,5102.29743025552,134631.980723413,0.0,0.0,0.0,139734.278153669,139734.278153669,0.0,7835.1223887484,0.0,0.0,0.0,7835.1223887484,7835.1223887484,250522,port1160,Santos,Brazil,BRA,7,5,0,1,2,13,15,25132.0213635139,0.0,0.0,0.0,12416.1963964559,25132.0213635139,37548.2177599698,51991.1167474611,61890.3995502945,0.0,1656.65404668883,0.0,115538.170344444,115538.170344444,372733
1503,2019-01-03,900.25,893.50,900.75,892.25,5.15K,0.61%,port1105,Rizhao,China,CHN,1,5,0,0,1,6,7,0.0,160995.274346132,0.0,0.0,0.0,160995.274346132,160995.274346132,0.0,4596.07404223866,0.0,0.0,1035.34328592947,4596.07404223866,5631.41732816813,250523,port1160,Santos,Brazil,BRA,5,6,1,0,0,12,12,22665.0038645819,24425.8417555636,0.0,0.0,0.0,47090.8456201455,47090.8456201455,31156.5446118806,40222.0767141469,25568.4895983804,0.0,0.0,96947.1109244079,96947.1109244079,372737
1502,2019-01-04,909.50,898.25,910.00,898.25,6.57K,1.03%,port1105,Rizhao,China,CHN,2,5,0,0,0,7,7,0.0,283350.547477476,0.0,0.0,0.0,283350.547477476,283350.547477476,6882.84798545464,0.0,0.0,0.0,0.0,6882.84798545464,6882.84798545464,250454,port1160,Santos,Brazil,BRA,5,1,0,0,6,6,12,6334.90448367548,0.0,0.0,0.0,34069.0787410576,6334.90448367548,40403.983224733,27880.9671682593,35223.918959846,0.0,0.0,5874.23961381796,63104.8861281053,68979.1257419233,372741
1501,2019-01-07,912.25,909.50,915.75,909.50,4.35K,0.30%,port1105,Rizhao,China,CHN,2,5,0,0,0,7,7,11711.9734696122,287144.269515723,0.0,0.0,0.0,298856.242985335,298856.242985335,11390.5509911208,27177.5010343523,0.0,0.0,0.0,38568.0520254731,38568.0520254731,250471,port1160,Santos,Brazil,BRA,6,3,0,0,1,9,10,28957.0835372405,4288.23682702755,0.0,0.0,0.0,33245.3203642681,33245.3203642681,44297.5424350632,15215.2865111105,0.0,0.0,1041.98869568179,59512.8289461737,60554.8176418555,372752
1500,2019-01-08,906.25,911.75,913.00,902.50,3.29K,-0.66%,port1105,Rizhao,China,CHN,0,5,0,0,1,5,6,0.0,173657.390216231,0.0,0.0,6842.9344253477,173657.390216231,180500.324641578,0.0,38694.9395984579,0.0,0.0,0.0,38694.9395984579,38694.9395984579,250477,port1160,Santos,Brazil,BRA,4,4,1,0,1,9,10,27548.7737295365,3289.42625602672,0.0,0.0,0.0,30838.1999855632,30838.1999855632,7738.7758672475,86340.0943906226,1790.35007615463,0.0,7748.07099132314,95869.2203340248,103617.291325348,372756
1499,2019-01-09,911.50,905.50,913.75,905.25,2.76K,0.58%,port1105,Rizhao,China,CHN,6,4,3,0,0,13,13,25933.2864544738,135913.460422039,4484.77263626987,0.0,0.0,166331.519512783,166331.519512783,11466.6689375487,0.0,5974.9599371736,0.0,0.0,17441.6288747223,17441.6288747223,250526,port1160,Santos,Brazil,BRA,6,1,2,0,1,9,10,39503.1432806182,0.0,0.0,0.0,7595.26934323408,39503.1432806182,47098.4126238522,11835.5924065623,40653.5428529942,6700.09195704613,0.0,0.0,59189.2272166027,59189.2272166027,372760
1498,2019-01-10,895.50,908.00,911.25,894.75,1.09K,-1.76%,port1105,Rizhao,China,CHN,0,5,0,0,0,5,5,0.0,206534.100840198,0.0,0.0,0.0,206534.100840198,206534.100840198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250531,port1160,Santos,Brazil,BRA,4,4,1,0,2,9,11,10780.280793387,11647.6683476859,0.0,0.0,21084.8183832298,22427.9491410729,43512.7675243027,24115.0302613979,58416.0110703743,19553.1354079844,0.0,0.0,102084.176739757,102084.176739757,372764
1497,2019-01-11,899.25,897.25,901.25,897.25,0.29K,0.42%,port1105,Rizhao,China,CHN,3,5,2,0,0,10,10,15718.3845341569,239287.480472689,2584.58825327262,0.0,0.0,257590.453260119,257590.453260119,11419.3284145221,12510.086551782,8724.31359161609,0.0,0.0,32653.7285579201,32653.7285579201,250537,port1160,Santos,Brazil,BRA,6,2,0,0,1,8,9,12683.4414577383,0.0,0.0,0.0,0.0,12683.4414577383,12683.4414577383,18658.3394791117,27379.3931600825,0.0,0.0,0.0,46037.7326391941,46037.7326391941,372767
1496,2019-01-14,890.75,895.25,895.25,891.00,0.29K,-0.95%,port1105,Rizhao,China,CHN,1,8,0,0,0,9,9,17719.723925922,238161.63706365,0.0,0.0,0.0,255881.360989572,255881.360989572,0.0,18479.1387381241,0.0,0.0,0.0,18479.1387381241,18479.1387381241,250589,port1160,Santos,Brazil,BRA,7,2,0,0,4,9,13,10077.8416211558,17894.2452477509,0.0,0.0,20137.5881446526,27972.0868689066,48109.6750135592,33059.4729865702,14396.2053997355,0.0,0.0,18472.446605424,47455.6783863056,65928.1249917296,372776
1495,2019-01-15,893.25,904.25,908.00,892.50,107.77K,0.28%,port1105,Rizhao,China,CHN,2,6,0,0,0,8,8,0.0,310357.881530115,0.0,0.0,0.0,310357.881530115,310357.881530115,3195.65481745976,59690.7605118004,0.0,0.0,0.0,62886.4153292601,62886.4153292601,250592,port1160,Santos,Brazil,BRA,5,5,2,0,1,12,13,45330.6045302199,17898.837900465,1071.85620257398,0.0,0.0,64301.2986332589,64301.2986332589,24632.9717740301,87081.7663308058,39530.7580895675,0.0,2395.89506638525,151245.496194403,153641.391260789,372779
1494,2019-01-16,894.50,895.50,900.00,891.25,87.04K,0.14%,port1105,Rizhao,China,CHN,0,4,2,0,0,6,6,0.0,210646.785149209,0.0,0.0,0.0,210646.785149209,210646.785149209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250593,port1160,Santos,Brazil,BRA,6,4,0,1,1,11,12,0.0,36187.0260062456,0.0,1713.5752558132,0.0,37900.6012620588,37900.6012620588,75369.4432625044,39515.6466878991,0.0,0.0,318.363562271785,114885.089950404,115203.453512675,372782
1493,2019-01-17,907.75,895.50,912.00,894.25,103.13K,1.48%,port1105,Rizhao,China,CHN,2,7,0,0,1,9,10,863.317865699029,325087.28300528,0.0,0.0,438.305813028452,325950.600870979,326388.906684008,50385.6812557864,407.674096429004,0.0,0.0,0.0,50793.3553522154,50793.3553522154,250595,port1160,Santos,Brazil,BRA,5,1,1,1,4,8,12,8768.75267306766,2334.88831758345,0.0,0.0,29207.0632255928,11103.6409906511,40310.7042162439,39229.6786327385,0.0,251.206018789122,1980.66400859047,7843.10261539801,41461.5486601181,49304.6512755161,372527
