,Date,Price,Open,High,Low,Vol.,Change %,portid_buenaventura,portname_buenaventura,country_buenaventura,ISO3_buenaventura,portcalls_container_buenaventura,portcalls_dry_bulk_buenaventura,portcalls_general_cargo_buenaventura,portcalls_roro_buenaventura,portcalls_tanker_buenaventura,portcalls_cargo_buenaventura,portcalls_buenaventura,import_container_buenaventura,import_dry_bulk_buenaventura,import_general_cargo_buenaventura,import_roro_buenaventura,import_tanker_buenaventura,import_cargo_buenaventura,import_buenaventura,export_container_buenaventura,export_dry_bulk_buenaventura,export_general_cargo_buenaventura,export_roro_buenaventura,export_tanker_buenaventura,export_cargo_buenaventura,export_buenaventura,ObjectId_buenaventura,portid_neworleans,portname_neworleans,country_neworleans,ISO3_neworleans,portcalls_container_neworleans,portcalls_dry_bulk_neworleans,portcalls_general_cargo_neworleans,portcalls_roro_neworleans,portcalls_tanker_neworleans,portcalls_cargo_neworleans,portcalls_neworleans,import_container_neworleans,import_dry_bulk_neworleans,import_general_cargo_neworleans,import_roro_neworleans,import_tanker_neworleans,import_cargo_neworleans,import_neworleans,export_container_neworleans,export_dry_bulk_neworleans,export_general_cargo_neworleans,export_roro_neworleans,export_tanker_neworleans,export_cargo_neworleans,export_neworleans,ObjectId_neworleans
1474,2019-01-02,102.65,104.75,105.75,102.5,5.81K,-2.19%,port183,Buenaventura,Colombia,COL,2,0,0,0,0,2,2,3705.7404372764,0.0,0.0,0.0,0.0,3705.7404372764,3705.7404372764,10396.9373464958,0.0,0.0,0.0,0.0,10396.9373464958,10396.9373464958,1091710,port812,New Orleans,United States,USA,0,0,1,0,0,1,1,0.0,0.0,7349.83464323997,0.0,0.0,7349.83464323997,7349.83464323997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3123774
1473,2019-01-03,105.15,102.8,106.25,102.7,7.92K,2.44%,port183,Buenaventura,Colombia,COL,3,1,1,1,0,6,6,10215.2446961149,27428.1874643108,364.92684897678,497.281342797367,0.0,38505.6403521998,38505.6403521998,10378.0077489678,0.0,0.0,0.0,0.0,10378.0077489678,10378.0077489678,1091711,port812,New Orleans,United States,USA,1,1,0,0,6,2,8,0.0,0.0,0.0,0.0,26607.2263836414,0.0,26607.2263836414,2877.19728187333,9192.56083124532,0.0,0.0,61790.5400279615,12069.7581131186,73860.2981410802,3123780
1472,2019-01-04,104.65,105.45,105.95,103.55,6.22K,-0.48%,port183,Buenaventura,Colombia,COL,2,1,0,0,1,3,4,2375.47446225642,15579.7881250598,0.0,0.0,1541.10799690071,17955.2625873163,19496.370584217,428.03892818619,0.0,0.0,0.0,0.0,428.03892818619,428.03892818619,1091712,port812,New Orleans,United States,USA,1,2,0,0,1,3,4,96.1756947674811,1113.33480382767,0.0,0.0,0.0,1209.51049859516,1209.51049859516,4387.95176199723,7513.31224831926,0.0,0.0,1817.22996079327,11901.2640103165,13718.4939711098,3123786
1471,2019-01-07,105.75,104.4,106.55,104.3,5.20K,1.05%,port183,Buenaventura,Colombia,COL,2,0,1,1,0,4,4,8397.66184016579,0.0,4341.12500707153,1104.21090822619,0.0,13842.9977554635,13842.9977554635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091715,port812,New Orleans,United States,USA,0,11,1,0,10,12,22,0.0,38778.0766083685,0.0,0.0,444.788349039351,38778.0766083685,39222.8649574079,0.0,143585.620871535,5912.23078411673,0.0,56846.1377708551,149497.851655651,206343.989426506,3123840
1470,2019-01-08,108.1,105.8,109.0,105.5,18.63K,2.22%,port183,Buenaventura,Colombia,COL,2,0,0,0,1,2,3,7596.87991748782,0.0,0.0,0.0,5939.77924730466,7596.87991748782,13536.6591647925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091716,port812,New Orleans,United States,USA,3,10,2,0,6,15,21,9779.25211466572,77156.9363970354,0.0,0.0,82678.5254175383,86936.1885117011,169614.713929239,0.0,101194.082810636,45215.4974843765,0.0,90975.2256504856,146409.580295012,237384.805945498,3123844
1469,2019-01-09,108.5,107.8,109.95,107.55,14.01K,0.37%,port183,Buenaventura,Colombia,COL,3,2,0,0,0,5,5,0.0,13240.5637811949,0.0,0.0,0.0,13240.5637811949,13240.5637811949,11859.7922360195,0.0,0.0,0.0,0.0,11859.7922360195,11859.7922360195,1091717,port812,New Orleans,United States,USA,0,19,4,0,13,23,36,0.0,35011.4915487682,1206.6605578944,0.0,63220.3881417369,36218.1521066626,99438.5402483995,0.0,164918.93889811,16011.4980943926,0.0,67792.5520400235,180930.436992502,248722.989032526,3123848
1468,2019-01-10,107.65,108.2,109.2,106.6,13.67K,-0.78%,port183,Buenaventura,Colombia,COL,3,1,0,1,1,5,6,8777.78386137342,27949.5837243414,0.0,1348.5408136881,0.0,38075.9083994029,38075.9083994029,915.917237340414,0.0,0.0,0.0,1405.14463134714,915.917237340414,2321.06186868756,1091718,port812,New Orleans,United States,USA,2,13,2,0,8,17,25,0.0,78350.461403626,0.0,0.0,30560.4985419698,78350.461403626,108910.959945596,1811.35635097788,150177.801042187,7345.10090288046,0.0,62943.2765132648,159334.258296045,222277.53480931,3123853
1467,2019-01-11,107.2,107.3,108.15,105.95,15.93K,-0.42%,port183,Buenaventura,Colombia,COL,3,0,0,0,1,3,4,7006.64814800511,0.0,0.0,0.0,0.0,7006.64814800511,7006.64814800511,20096.8394524006,0.0,0.0,0.0,1197.15319312992,20096.8394524006,21293.9926455305,1091719,port812,New Orleans,United States,USA,1,14,2,0,12,17,29,0.0,42359.4272902066,2088.60875315364,0.0,75965.4002933547,44448.0360433603,120413.436336715,8297.16980781929,225103.571381057,464.618323070821,0.0,42116.274604764,233865.359511947,275981.634116711,3123858
1466,2019-01-14,106.25,106.6,106.9,104.95,10.62K,-0.89%,port183,Buenaventura,Colombia,COL,1,1,0,0,0,2,2,2176.68475705203,14554.8605772854,0.0,0.0,0.0,16731.5453343375,16731.5453343375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091722,port812,New Orleans,United States,USA,2,11,0,0,13,13,26,0.0,32377.4054334263,0.0,0.0,44079.8861519618,32377.4054334263,76457.2915853881,17366.7707648116,82336.0417654103,0.0,0.0,73179.0366489279,99702.8125302219,172881.84917915,3123871
1465,2019-01-15,104.55,105.8,106.35,103.95,15.59K,-1.60%,port183,Buenaventura,Colombia,COL,1,1,0,0,1,2,3,15580.4081826065,15244.1129334452,0.0,0.0,2501.83794907581,30824.5211160517,33326.3590651275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091723,port812,New Orleans,United States,USA,2,11,3,0,11,16,27,0.0,47524.6189038039,12828.7968978982,0.0,46148.6206475204,60353.4158017021,106502.036449222,6712.91795858378,76647.2745468025,0.0,0.0,83881.0934286778,83360.1925053863,167241.285934064,3123876
