,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
3123766,2019/01/01 00:00:00+00,2019,1,1,port812,New Orleans,United States,USA,3,32,5,1,20,41,61,11887.2373408643,162936.745712679,7274.51544655532,0.0,105804.786067813,182098.498500099,287903.284567912,0.0,453404.917348143,13732.2253974142,0.0,140228.499341402,467137.142745557,607365.642086959,3123767
3123773,2019/01/02 00:00:00+00,2019,1,2,port812,New Orleans,United States,USA,0,0,1,0,0,1,1,0.0,0.0,7349.83464323997,0.0,0.0,7349.83464323997,7349.83464323997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3123774
3123779,2019/01/03 00:00:00+00,2019,1,3,port812,New Orleans,United States,USA,1,1,0,0,6,2,8,0.0,0.0,0.0,0.0,26607.2263836414,0.0,26607.2263836414,2877.19728187333,9192.56083124532,0.0,0.0,61790.5400279615,12069.7581131186,73860.2981410802,3123780
3123785,2019/01/04 00:00:00+00,2019,1,4,port812,New Orleans,United States,USA,1,2,0,0,1,3,4,96.1756947674811,1113.33480382767,0.0,0.0,0.0,1209.51049859516,1209.51049859516,4387.95176199723,7513.31224831926,0.0,0.0,1817.22996079327,11901.2640103165,13718.4939711098,3123786
3123791,2019/01/05 00:00:00+00,2019,1,5,port812,New Orleans,United States,USA,0,7,1,0,9,8,17,0.0,14786.1852761523,2246.85143785418,0.0,50809.0011115177,17033.0367140064,67842.0378255242,0.0,72746.283584412,0.0,0.0,83829.105741525,72746.283584412,156575.389325937,3123792
3123834,2019/01/06 00:00:00+00,2019,1,6,port812,New Orleans,United States,USA,3,13,2,0,11,18,29,5162.63689129454,50826.0061216396,1900.04323028321,0.0,18721.5209179929,57888.6862432174,76610.2071612103,4666.40282012429,197737.776263668,2023.40222451113,0.0,81008.0022874904,204427.581308303,285435.583595794,3123835
3123839,2019/01/07 00:00:00+00,2019,1,7,port812,New Orleans,United States,USA,0,11,1,0,10,12,22,0.0,38778.0766083685,0.0,0.0,444.788349039351,38778.0766083685,39222.8649574079,0.0,143585.620871535,5912.23078411673,0.0,56846.1377708551,149497.851655651,206343.989426506,3123840
3123843,2019/01/08 00:00:00+00,2019,1,8,port812,New Orleans,United States,USA,3,10,2,0,6,15,21,9779.25211466572,77156.9363970354,0.0,0.0,82678.5254175383,86936.1885117011,169614.713929239,0.0,101194.082810636,45215.4974843765,0.0,90975.2256504856,146409.580295012,237384.805945498,3123844
3123847,2019/01/09 00:00:00+00,2019,1,9,port812,New Orleans,United States,USA,0,19,4,0,13,23,36,0.0,35011.4915487682,1206.6605578944,0.0,63220.3881417369,36218.1521066626,99438.5402483995,0.0,164918.93889811,16011.4980943926,0.0,67792.5520400235,180930.436992502,248722.989032526,3123848
3123852,2019/01/10 00:00:00+00,2019,1,10,port812,New Orleans,United States,USA,2,13,2,0,8,17,25,0.0,78350.461403626,0.0,0.0,30560.4985419698,78350.461403626,108910.959945596,1811.35635097788,150177.801042187,7345.10090288046,0.0,62943.2765132648,159334.258296045,222277.53480931,3123853
