"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2024","100.11","98.93","100.62","98.43","6.30M","0.89%"
"12/05/2024","99.23","101.00","101.30","99.19","7.19M","-1.46%"
"12/04/2024","100.70","100.89","101.99","100.37","6.15M","-0.86%"
"12/03/2024","101.57","101.09","102.12","99.89","7.10M","0.06%"
"12/02/2024","101.51","102.00","102.21","99.87","6.10M","-0.93%"
"11/29/2024","102.46","101.37","102.50","101.27","3.42M","0.94%"
"11/27/2024","101.51","100.75","102.03","100.71","4.86M","0.82%"
"11/26/2024","100.68","101.99","102.09","100.47","6.56M","-1.14%"
"11/25/2024","101.84","102.93","103.32","101.78","8.84M","-0.64%"
"11/22/2024","102.50","100.00","102.56","99.77","6.56M","2.44%"
"11/21/2024","100.06","99.50","100.33","98.49","6.76M","1.83%"
"11/20/2024","98.26","98.00","98.75","97.11","7.53M","-0.09%"
"11/19/2024","98.35","99.79","100.30","98.20","9.18M","-2.04%"
"11/18/2024","100.40","98.44","100.61","97.93","7.04M","2.01%"
"11/15/2024","98.42","99.10","100.22","97.99","8.12M","-0.82%"
"11/14/2024","99.23","99.43","100.02","99.14","6.44M","-0.57%"
"11/13/2024","99.80","97.35","99.94","96.23","8.82M","1.01%"
"11/12/2024","98.80","100.13","100.54","98.42","8.44M","-1.51%"
"11/11/2024","100.31","98.00","101.41","97.94","10.31M","2.83%"
"11/08/2024","97.55","96.11","97.64","96.03","6.12M","1.49%"
"11/07/2024","96.12","96.06","96.69","95.76","6.20M","0.04%"
"11/06/2024","96.08","96.97","98.23","94.78","9.71M","-1.04%"
"11/05/2024","97.09","96.86","97.47","96.15","6.35M","0.06%"
"11/04/2024","97.03","98.59","98.81","96.69","7.05M","-1.86%"
"11/01/2024","98.87","97.60","99.80","97.37","8.86M","1.20%"
"10/31/2024","97.70","97.32","99.00","95.35","12.01M","0.39%"
"10/30/2024","97.32","97.37","98.14","96.80","9.19M","-0.07%"
"10/29/2024","97.39","97.74","98.05","96.35","7.66M","-0.64%"
"10/28/2024","98.02","97.65","99.14","97.55","6.79M","0.73%"
"10/25/2024","97.31","97.22","97.96","96.43","9.67M","0.16%"
"10/24/2024","97.15","97.69","99.42","96.85","9.83M","-0.51%"
"10/23/2024","97.65","93.87","97.72","93.69","18.86M","0.86%"
"10/22/2024","96.82","96.35","97.19","95.94","6.67M","0.38%"
"10/21/2024","96.45","96.95","97.20","95.89","3.99M","-0.40%"
"10/18/2024","96.84","95.68","96.85","95.04","6.18M","1.65%"
"10/17/2024","95.27","95.33","96.19","94.78","5.58M","-0.20%"
"10/16/2024","95.46","95.45","95.84","94.09","7.54M","0.44%"
"10/15/2024","95.04","94.67","95.97","94.57","6.26M","0.30%"
"10/14/2024","94.76","95.41","95.53","94.34","4.12M","-0.83%"
"10/11/2024","95.55","94.14","95.96","94.01","4.83M","1.78%"
"10/10/2024","93.88","95.42","95.48","93.76","5.46M","-2.09%"
"10/09/2024","95.88","96.48","96.48","95.46","3.34M","-0.34%"
"10/08/2024","96.21","96.05","96.88","95.28","6.60M","0.12%"
"10/07/2024","96.09","96.19","96.52","95.36","7.48M","-0.51%"
"10/04/2024","96.58","96.17","96.73","95.15","6.82M","1.07%"
"10/03/2024","95.56","95.64","96.39","95.31","5.56M","-0.97%"
"10/02/2024","96.50","96.83","97.00","95.87","6.35M","-0.95%"
"10/01/2024","97.43","97.49","98.14","96.35","7.17M","-0.06%"
"09/30/2024","97.49","97.39","97.69","96.41","6.44M","0.13%"
"09/27/2024","97.36","97.65","98.15","97.19","6.32M","-0.11%"
"09/26/2024","97.47","98.50","99.15","97.00","9.88M","1.93%"
"09/25/2024","95.62","94.26","95.96","94.22","8.63M","1.24%"
"09/24/2024","94.45","95.47","95.82","94.18","8.61M","-1.08%"
"09/23/2024","95.48","96.05","96.05","94.35","8.38M","-0.59%"
"09/20/2024","96.05","96.85","97.06","95.32","19.54M","-0.88%"
"09/19/2024","96.90","97.97","98.70","96.32","8.75M","0.81%"
"09/18/2024","96.12","95.55","97.60","95.33","8.79M","-0.33%"
"09/17/2024","96.44","96.49","96.54","95.20","6.28M","0.13%"
"09/16/2024","96.31","98.52","98.60","95.98","9.26M","-2.29%"
"09/13/2024","98.57","99.13","99.51","98.50","9.90M","-0.72%"
"09/12/2024","99.28","98.46","99.31","97.34","14.66M","1.10%"
"09/11/2024","98.20","94.08","98.35","93.66","19.30M","5.21%"
"09/10/2024","93.34","92.12","93.52","91.14","7.33M","1.23%"
"09/09/2024","92.21","91.22","92.36","90.41","10.09M","1.16%"
"09/06/2024","91.15","91.50","92.16","90.18","9.26M","-0.45%"
"09/05/2024","91.56","92.17","93.02","91.20","8.37M","-0.83%"
"09/04/2024","92.33","93.37","93.98","91.97","7.19M","-0.91%"
"09/03/2024","93.18","94.13","94.81","93.04","11.23M","-1.47%"
"08/30/2024","94.57","94.99","95.93","94.43","7.12M","-0.31%"
"08/29/2024","94.86","95.47","95.83","94.28","8.78M","-0.46%"
"08/28/2024","95.30","98.22","98.71","94.38","14.87M","-3.35%"
"08/27/2024","98.60","95.40","98.72","95.25","17.46M","3.11%"
"08/26/2024","95.63","94.20","95.93","94.18","13.88M","1.71%"
"08/23/2024","94.02","92.85","94.42","92.82","11.48M","1.72%"
"08/22/2024","92.43","92.67","92.83","91.77","10.01M","-0.38%"
"08/21/2024","92.78","92.49","93.38","92.22","6.77M","-0.25%"
"08/20/2024","93.01","92.29","93.82","92.13","11.54M","0.77%"
"08/19/2024","92.30","94.35","94.89","92.13","14.48M","-2.65%"
"08/16/2024","94.81","93.36","95.65","93.30","16.34M","-0.07%"
"08/15/2024","94.88","94.11","94.96","92.98","21.11M","1.04%"
"08/14/2024","93.90","95.39","95.86","91.43","45.74M","-2.09%"
"08/13/2024","95.90","91.02","96.01","90.29","157.22M","24.50%"
"08/12/2024","77.03","76.53","78.43","76.29","13.12M","2.58%"
"08/09/2024","75.09","75.65","75.86","74.75","4.68M","-0.87%"
"08/08/2024","75.75","75.07","76.15","74.80","8.99M","0.61%"
"08/07/2024","75.29","75.30","76.83","75.16","7.30M","-0.11%"
"08/06/2024","75.37","73.92","75.99","73.84","10.53M","2.04%"
"08/05/2024","73.86","73.85","75.00","72.72","12.37M","-2.66%"
"08/02/2024","75.88","75.11","76.67","74.92","15.19M","1.03%"
"08/01/2024","75.11","77.89","78.14","73.83","17.31M","-3.64%"
"07/31/2024","77.95","79.55","81.24","77.80","18.90M","2.65%"
"07/30/2024","75.94","75.25","76.05","74.85","16.16M","0.98%"
"07/29/2024","75.20","74.39","75.59","73.72","10.86M","1.55%"
"07/26/2024","74.05","73.84","75.02","73.71","12.39M","1.00%"
"07/25/2024","73.32","75.06","75.76","73.26","18.97M","-1.82%"
"07/24/2024","74.68","76.37","76.49","74.02","10.48M","-2.07%"
"07/23/2024","76.26","77.14","77.14","76.03","9.59M","-0.38%"
"07/22/2024","76.55","78.33","78.47","76.01","18.85M","-3.43%"
"07/19/2024","79.27","74.66","79.38","74.19","32.97M","6.85%"
"07/18/2024","74.19","74.46","75.11","73.81","10.70M","-1.21%"
"07/17/2024","75.10","75.22","76.13","74.55","11.57M","-0.54%"
"07/16/2024","75.51","72.21","75.51","71.55","14.97M","3.79%"
"07/15/2024","72.75","74.89","74.89","72.52","9.06M","-2.78%"
"07/12/2024","74.83","73.80","75.06","73.38","10.56M","2.09%"
"07/11/2024","73.30","72.34","73.50","72.08","12.32M","1.09%"
"07/10/2024","72.51","72.99","73.17","72.35","11.13M","-0.33%"
"07/09/2024","72.75","74.63","74.64","72.73","11.84M","-2.44%"
