"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2024","330.25","315.95","331.70","313.70","26.34K","5.34%"
"12/05/2024","313.50","305.25","315.65","303.50","18.25K","3.23%"
"12/04/2024","303.70","297.65","304.50","294.00","15.33K","2.77%"
"12/03/2024","295.50","290.50","300.85","290.05","25.16K","-0.19%"
"12/02/2024","296.05","313.05","315.90","294.05","31.81K","-7.96%"
"11/29/2024","321.65","334.50","335.00","324.30","1.14K","-1.38%"
"11/27/2024","326.15","320.00","329.50","319.65","0.03K","4.49%"
"11/26/2024","312.15","310.05","313.00","310.05","0.02K","1.23%"
"11/25/2024","308.35","308.30","312.80","307.25","0.08K","2.07%"
"11/22/2024","302.10","291.15","303.90","291.05","21.35K","2.16%"
"11/21/2024","295.70","296.20","297.50","291.20","19.65K","1.09%"
"11/20/2024","292.50","285.00","294.30","283.60","20.44K","3.98%"
"11/19/2024","281.30","282.65","284.30","279.00","20.46K","-0.32%"
"11/18/2024","282.20","284.50","291.50","279.70","24.38K","-0.39%"
"11/15/2024","283.30","275.40","285.60","275.40","27.49K","1.40%"
"11/14/2024","279.40","271.20","284.95","270.45","35.23K","3.02%"
"11/13/2024","271.20","262.50","272.65","260.55","37.88K","3.08%"
"11/12/2024","263.10","256.35","266.00","256.35","31.82K","2.83%"
"11/11/2024","255.85","253.25","258.40","253.15","34.10K","1.09%"
"11/08/2024","253.10","257.00","259.35","252.60","45.32K","-2.56%"
"11/07/2024","259.75","249.65","260.65","248.90","39.24K","4.72%"
"11/06/2024","248.05","248.05","249.90","243.50","22.84K","-0.54%"
"11/05/2024","249.40","245.10","251.40","245.05","26.00K","1.82%"
"11/04/2024","244.95","242.60","245.50","241.60","19.31K","1.05%"
"11/01/2024","242.40","245.55","248.55","240.80","20.30K","-1.26%"
"10/31/2024","245.50","248.70","248.95","243.90","13.15K","-1.43%"
"10/30/2024","249.05","247.80","250.00","244.40","12.94K","0.73%"
"10/29/2024","247.25","251.85","253.10","246.95","10.04K","-1.63%"
"10/28/2024","251.35","246.10","254.50","245.25","13.18K","1.56%"
"10/25/2024","247.50","244.85","247.80","243.35","12.06K","1.25%"
"10/24/2024","244.45","250.20","254.65","243.15","13.28K","-2.63%"
"10/23/2024","251.05","248.50","252.65","246.30","12.10K","0.92%"
"10/22/2024","248.75","251.50","254.35","247.55","10.41K","-0.68%"
"10/21/2024","250.45","251.00","252.60","246.80","11.01K","-2.17%"
"10/18/2024","256.00","253.00","257.75","251.75","8.21K","0.85%"
"10/17/2024","253.85","255.65","259.50","252.15","8.69K","-1.09%"
"10/16/2024","256.65","257.00","258.40","253.65","8.95K","0.45%"
"10/15/2024","255.50","260.45","262.70","254.30","9.07K","-1.94%"
"10/14/2024","260.55","249.40","261.15","249.10","11.91K","3.91%"
"10/11/2024","250.75","253.35","255.00","249.75","8.69K","-1.07%"
"10/10/2024","253.45","246.65","255.65","246.10","9.29K","1.87%"
"10/09/2024","248.80","246.70","251.50","245.35","8.49K","0.75%"
"10/08/2024","246.95","246.85","247.50","242.75","8.52K","1.48%"
"10/07/2024","243.35","251.00","251.80","242.10","12.58K","-4.81%"
"10/04/2024","255.65","251.85","256.00","250.30","8.18K","2.06%"
"10/03/2024","250.50","255.90","256.70","249.75","8.13K","-1.67%"
"10/02/2024","254.75","263.65","265.35","254.05","13.64K","-2.82%"
"10/01/2024","262.15","267.30","269.15","259.55","10.61K","-2.16%"
"09/30/2024","267.95","266.50","269.80","262.10","9.85K","0.39%"
"09/27/2024","266.90","269.95","270.70","262.35","8.21K","-1.78%"
