,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
250400,2019/04/14 00:00:00+00,2019,4,14,port1105,Rizhao,China,CHN,1,6,2,0,0,9,9,0.0,230899.923365334,0.0,0.0,0.0,230899.923365334,230899.923365334,2031.92735988428,15203.9347748723,3245.94731907861,0.0,0.0,20481.8094538352,20481.8094538352,250401
250401,2019/04/15 00:00:00+00,2019,4,15,port1105,Rizhao,China,CHN,4,1,0,0,0,5,5,0.0,114786.52649326,0.0,0.0,0.0,114786.52649326,114786.52649326,5264.37010045098,0.0,0.0,0.0,0.0,5264.37010045098,5264.37010045098,250402
250402,2019/04/16 00:00:00+00,2019,4,16,port1105,Rizhao,China,CHN,1,6,1,0,0,8,8,0.0,144063.920051327,181.12491836506,0.0,0.0,144245.044969692,144245.044969692,17992.400788612,14690.6096550128,0.0,0.0,0.0,32683.0104436248,32683.0104436248,250403
250403,2019/04/17 00:00:00+00,2019,4,17,port1105,Rizhao,China,CHN,1,6,1,0,0,8,8,0.0,270861.796752396,3352.54396097758,0.0,0.0,274214.340713373,274214.340713373,0.0,15921.3829639051,0.0,0.0,0.0,15921.3829639051,15921.3829639051,250404
250404,2019/04/18 00:00:00+00,2019,4,18,port1105,Rizhao,China,CHN,1,6,0,0,1,7,8,0.0,179250.969059808,0.0,0.0,1414.29211273121,179250.969059808,180665.261172539,12560.5653279759,13302.9395809162,0.0,0.0,0.0,25863.5049088921,25863.5049088921,250405
250405,2019/04/19 00:00:00+00,2019,4,19,port1105,Rizhao,China,CHN,2,1,1,0,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559.66709896675,0.0,4113.41917900263,0.0,0.0,7673.08627796939,7673.08627796939,250406
250406,2019/04/20 00:00:00+00,2019,4,20,port1105,Rizhao,China,CHN,0,1,1,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15214.2765733513,9264.43260438875,0.0,0.0,24478.70917774,24478.70917774,250407
250407,2019/04/21 00:00:00+00,2019,4,21,port1105,Rizhao,China,CHN,3,1,0,0,0,4,4,473.247883771872,0.0,0.0,0.0,0.0,473.247883771872,473.247883771872,15056.0196589964,17692.0157206027,0.0,0.0,0.0,32748.035379599,32748.035379599,250408
250408,2019/04/22 00:00:00+00,2019,4,22,port1105,Rizhao,China,CHN,0,2,0,0,0,2,2,0.0,96226.5966955018,0.0,0.0,0.0,96226.5966955018,96226.5966955018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250409
250409,2019/04/23 00:00:00+00,2019,4,23,port1105,Rizhao,China,CHN,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250410
250410,2019/04/24 00:00:00+00,2019,4,24,port1105,Rizhao,China,CHN,2,5,0,0,0,7,7,18757.6271069905,201026.34005374,0.0,0.0,0.0,219783.96716073,219783.96716073,0.0,16916.3261269438,0.0,0.0,0.0,16916.3261269438,16916.3261269438,250411
250411,2019/04/25 00:00:00+00,2019,4,25,port1105,Rizhao,China,CHN,3,4,0,0,0,7,7,0.0,152144.110178908,0.0,0.0,0.0,152144.110178908,152144.110178908,8258.66136377157,0.0,0.0,0.0,0.0,8258.66136377157,8258.66136377157,250412
250412,2019/04/26 00:00:00+00,2019,4,26,port1105,Rizhao,China,CHN,2,6,1,0,0,9,9,1162.64227900583,274901.441457335,0.0,0.0,0.0,276064.083736341,276064.083736341,2066.15593408051,6593.79266704515,2731.4142171997,0.0,0.0,11391.3628183254,11391.3628183254,250413
250413,2019/04/27 00:00:00+00,2019,4,27,port1105,Rizhao,China,CHN,1,5,0,0,0,6,6,0.0,139837.303290186,0.0,0.0,0.0,139837.303290186,139837.303290186,5869.90064662596,103681.643255965,0.0,0.0,0.0,109551.543902591,109551.543902591,250414
250414,2019/04/28 00:00:00+00,2019,4,28,port1105,Rizhao,China,CHN,1,5,1,0,0,7,7,0.0,176997.942478777,0.0,0.0,0.0,176997.942478777,176997.942478777,755.250815258271,13296.4296191106,12660.8719128073,0.0,0.0,26712.5523471762,26712.5523471762,250415
250415,2019/04/29 00:00:00+00,2019,4,29,port1105,Rizhao,China,CHN,1,3,0,0,0,4,4,1973.38831947651,211782.853931929,0.0,0.0,0.0,213756.242251406,213756.242251406,0.0,13308.2880647228,0.0,0.0,0.0,13308.2880647228,13308.2880647228,250416
250416,2019/04/30 00:00:00+00,2019,4,30,port1105,Rizhao,China,CHN,2,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7219.36594131539,0.0,0.0,0.0,0.0,7219.36594131539,7219.36594131539,250417
250417,2019/05/01 00:00:00+00,2019,5,1,port1105,Rizhao,China,CHN,1,3,0,0,1,4,5,0.0,130436.409515009,0.0,0.0,5836.54408207606,130436.409515009,136272.953597085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250418
250418,2019/05/02 00:00:00+00,2019,5,2,port1105,Rizhao,China,CHN,2,7,0,0,0,9,9,0.0,313215.301240812,0.0,0.0,0.0,313215.301240812,313215.301240812,11147.4385528202,3754.6708791671,0.0,0.0,0.0,14902.1094319873,14902.1094319873,250419
250419,2019/05/03 00:00:00+00,2019,5,3,port1105,Rizhao,China,CHN,1,3,1,0,0,5,5,0.0,128950.398054917,1956.04441135359,0.0,0.0,130906.442466271,130906.442466271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250420
250420,2019/05/04 00:00:00+00,2019,5,4,port1105,Rizhao,China,CHN,1,4,0,0,0,5,5,5900.23798853459,107576.817437089,0.0,0.0,0.0,113477.055425623,113477.055425623,0.0,6838.55349861615,0.0,0.0,0.0,6838.55349861615,6838.55349861615,250421
250421,2019/05/05 00:00:00+00,2019,5,5,port1105,Rizhao,China,CHN,3,2,1,0,0,6,6,706.508016637474,157377.376064695,0.0,0.0,0.0,158083.884081333,158083.884081333,27231.6837553635,0.0,0.0,0.0,0.0,27231.6837553635,27231.6837553635,250422
250422,2019/07/23 00:00:00+00,2019,7,23,port1105,Rizhao,China,CHN,3,2,1,0,0,6,6,3705.94795479912,129631.323309204,0.0,0.0,0.0,133337.271264004,133337.271264004,2776.98540218819,0.0,7158.14643256528,0.0,0.0,9935.13183475346,9935.13183475346,250423
250423,2019/02/23 00:00:00+00,2019,2,23,port1105,Rizhao,China,CHN,2,7,0,0,0,9,9,7569.35456816633,223706.121785967,0.0,0.0,0.0,231275.476354133,231275.476354133,6593.26716076924,25584.4181095173,0.0,0.0,0.0,32177.6852702865,32177.6852702865,250424
250424,2019/05/06 00:00:00+00,2019,5,6,port1105,Rizhao,China,CHN,0,1,0,0,0,1,1,0.0,110238.085910133,0.0,0.0,0.0,110238.085910133,110238.085910133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250425
250425,2019/05/07 00:00:00+00,2019,5,7,port1105,Rizhao,China,CHN,3,3,0,0,0,6,6,12573.8643759867,80877.7794202901,0.0,0.0,0.0,93451.6437962769,93451.6437962769,5856.2658905498,0.0,0.0,0.0,0.0,5856.2658905498,5856.2658905498,250426
250426,2019/05/08 00:00:00+00,2019,5,8,port1105,Rizhao,China,CHN,2,0,2,0,0,4,4,0.0,0.0,11100.6778527028,0.0,0.0,11100.6778527028,11100.6778527028,0.0,0.0,3051.68616752241,0.0,0.0,3051.68616752241,3051.68616752241,250427
250427,2019/05/09 00:00:00+00,2019,5,9,port1105,Rizhao,China,CHN,2,3,0,0,0,5,5,0.0,50319.089562635,0.0,0.0,0.0,50319.089562635,50319.089562635,2019.51746852881,0.0,0.0,0.0,0.0,2019.51746852881,2019.51746852881,250428
250428,2019/05/10 00:00:00+00,2019,5,10,port1105,Rizhao,China,CHN,1,6,2,0,0,9,9,0.0,188289.358200924,0.0,0.0,0.0,188289.358200924,188289.358200924,0.0,0.0,1554.95865156989,0.0,0.0,1554.95865156989,1554.95865156989,250429
250429,2019/05/11 00:00:00+00,2019,5,11,port1105,Rizhao,China,CHN,1,4,0,0,0,5,5,0.0,231397.346795822,0.0,0.0,0.0,231397.346795822,231397.346795822,3691.3950240883,4763.40461152327,0.0,0.0,0.0,8454.79963561157,8454.79963561157,250430
250430,2019/05/12 00:00:00+00,2019,5,12,port1105,Rizhao,China,CHN,2,5,1,0,0,8,8,2831.371054376,237014.698254297,0.0,0.0,0.0,239846.069308673,239846.069308673,8510.07630604317,0.0,7116.63031954237,0.0,0.0,15626.7066255855,15626.7066255855,250431
250431,2019/05/13 00:00:00+00,2019,5,13,port1105,Rizhao,China,CHN,3,3,0,0,0,6,6,0.0,252856.100498733,0.0,0.0,0.0,252856.100498733,252856.100498733,1915.12902431439,16326.852462908,0.0,0.0,0.0,18241.9814872224,18241.9814872224,250432
250432,2019/05/14 00:00:00+00,2019,5,14,port1105,Rizhao,China,CHN,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250433
250433,2019/05/15 00:00:00+00,2019,5,15,port1105,Rizhao,China,CHN,2,5,1,0,0,8,8,0.0,197452.460261509,0.0,0.0,0.0,197452.460261509,197452.460261509,5882.49331681515,0.0,0.0,0.0,0.0,5882.49331681515,5882.49331681515,250434
250434,2019/05/16 00:00:00+00,2019,5,16,port1105,Rizhao,China,CHN,1,2,1,0,0,4,4,0.0,69288.0924944518,0.0,0.0,0.0,69288.0924944518,69288.0924944518,6119.07282023809,0.0,358.692032515733,0.0,0.0,6477.76485275383,6477.76485275383,250435
250435,2019/05/17 00:00:00+00,2019,5,17,port1105,Rizhao,China,CHN,2,5,0,0,0,7,7,8507.12315288215,223122.681190503,0.0,0.0,0.0,231629.804343385,231629.804343385,6848.17954380643,29012.2398368387,0.0,0.0,0.0,35860.4193806452,35860.4193806452,250436
250436,2019/05/18 00:00:00+00,2019,5,18,port1105,Rizhao,China,CHN,1,3,1,0,0,5,5,0.0,218623.478628606,0.0,0.0,0.0,218623.478628606,218623.478628606,13432.4237021287,5295.93840603653,394.677640785772,0.0,0.0,19123.039748951,19123.039748951,250437
