,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2055,2024/11/10 00:00:00+00,2024,11,10,port1105,Rizhao,China,CHN,1,2,0,0,0,3,3,0.0,54379.0927282768,0.0,0.0,0.0,54379.0927282768,54379.0927282768,0.0,4673.25482537903,0.0,0.0,0.0,4673.25482537903,4673.25482537903,252584
2054,2024/11/09 00:00:00+00,2024,11,9,port1105,Rizhao,China,CHN,1,2,1,0,0,4,4,0.0,254383.518704053,2054.03078044639,0.0,0.0,256437.549484499,256437.549484499,0.0,0.0,3536.81882169516,0.0,0.0,3536.81882169516,3536.81882169516,252583
2053,2024/11/08 00:00:00+00,2024,11,8,port1105,Rizhao,China,CHN,1,6,0,0,0,7,7,524.823055117944,148514.832726187,0.0,0.0,0.0,149039.655781305,149039.655781305,0.0,9642.1605271308,0.0,0.0,0.0,9642.1605271308,9642.1605271308,252582
2052,2024/11/07 00:00:00+00,2024,11,7,port1105,Rizhao,China,CHN,3,2,2,0,0,7,7,244.531975386464,116040.956470271,5964.7987311794,0.0,0.0,122250.287176837,122250.287176837,12977.2450513926,0.0,6202.61216279626,0.0,0.0,19179.8572141888,19179.8572141888,252581
2051,2024/11/06 00:00:00+00,2024,11,6,port1105,Rizhao,China,CHN,0,8,3,0,0,11,11,0.0,343576.0499467,3110.64629544862,0.0,0.0,346686.696242149,346686.696242149,0.0,13114.4145432399,12551.5017911154,0.0,0.0,25665.9163343553,25665.9163343553,252580
2050,2024/11/05 00:00:00+00,2024,11,5,port1105,Rizhao,China,CHN,2,5,0,0,0,7,7,0.0,96397.5399472275,0.0,0.0,0.0,96397.5399472275,96397.5399472275,0.0,6797.42431088945,0.0,0.0,0.0,6797.42431088945,6797.42431088945,252579
2049,2024/11/04 00:00:00+00,2024,11,4,port1105,Rizhao,China,CHN,1,2,2,0,0,5,5,3291.11290034423,90925.5550145069,503.976058235794,0.0,0.0,94720.6439730869,94720.6439730869,0.0,5133.62437558901,10134.4412796083,0.0,0.0,15268.0656551973,15268.0656551973,252578
2048,2024/11/03 00:00:00+00,2024,11,3,port1105,Rizhao,China,CHN,3,2,1,0,0,6,6,621.307430008342,53749.5660487023,1014.23718874747,0.0,0.0,55385.1106674581,55385.1106674581,6481.74077127468,12740.2536253367,5856.5214569754,0.0,0.0,25078.5158535868,25078.5158535868,252577
2047,2024/11/02 00:00:00+00,2024,11,2,port1105,Rizhao,China,CHN,1,2,0,0,0,3,3,0.0,57719.2242049574,0.0,0.0,0.0,57719.2242049574,57719.2242049574,7047.16642771651,5272.34776485144,0.0,0.0,0.0,12319.514192568,12319.514192568,252576
2046,2024/11/01 00:00:00+00,2024,11,1,port1105,Rizhao,China,CHN,0,4,0,0,0,4,4,0.0,170626.87402438,0.0,0.0,0.0,170626.87402438,170626.87402438,0.0,3111.06378038155,0.0,0.0,0.0,3111.06378038155,3111.06378038155,252575
2045,2024/10/31 00:00:00+00,2024,10,31,port1105,Rizhao,China,CHN,1,2,1,0,0,4,4,0.0,58227.0896376844,0.0,0.0,0.0,58227.0896376844,58227.0896376844,15403.9909724762,0.0,2883.52376581871,0.0,0.0,18287.5147382949,18287.5147382949,252574
2044,2024/10/30 00:00:00+00,2024,10,30,port1105,Rizhao,China,CHN,1,3,0,0,0,4,4,0.0,128484.432771341,0.0,0.0,0.0,128484.432771341,128484.432771341,2608.92224344179,0.0,0.0,0.0,0.0,2608.92224344179,2608.92224344179,252573
2043,2024/10/29 00:00:00+00,2024,10,29,port1105,Rizhao,China,CHN,3,3,1,0,1,7,8,0.0,47356.2796126085,3520.43000437897,0.0,0.0,50876.7096169874,50876.7096169874,10533.6675416554,3111.06378038155,263.081464760838,0.0,0.0,13907.8127867978,13907.8127867978,252572
2042,2024/10/28 00:00:00+00,2024,10,28,port1105,Rizhao,China,CHN,0,6,0,0,0,6,6,0.0,357025.327313396,0.0,0.0,0.0,357025.327313396,357025.327313396,0.0,6222.12756076311,0.0,0.0,0.0,6222.12756076311,6222.12756076311,252571
2041,2024/10/27 00:00:00+00,2024,10,27,port1105,Rizhao,China,CHN,3,2,0,0,0,5,5,452.902242868791,39976.1910972726,0.0,0.0,0.0,40429.0933401414,40429.0933401414,5084.38678591369,181.13587093656,0.0,0.0,0.0,5265.52265685025,5265.52265685025,252570
2040,2024/10/26 00:00:00+00,2024,10,26,port1105,Rizhao,China,CHN,1,4,1,0,0,6,6,0.0,89179.8510965137,12862.7492071312,0.0,0.0,102042.600303645,102042.600303645,0.0,34013.8581743733,0.0,0.0,0.0,34013.8581743733,34013.8581743733,252569
2039,2024/10/25 00:00:00+00,2024,10,25,port1105,Rizhao,China,CHN,2,8,1,0,1,11,12,313.390371035002,367387.483700877,0.0,0.0,6925.0896610612,367700.874071912,374625.963732973,5405.44970422281,6222.12756076311,13466.8061274428,0.0,0.0,25094.3833924287,25094.3833924287,252568
2038,2024/10/24 00:00:00+00,2024,10,24,port1105,Rizhao,China,CHN,2,3,2,0,0,7,7,8900.55224730217,201176.987999008,2999.54272803789,0.0,0.0,213077.082974348,213077.082974348,11142.529048619,0.0,5856.5214569754,0.0,0.0,16999.0505055944,16999.0505055944,252567
2037,2024/10/23 00:00:00+00,2024,10,23,port1105,Rizhao,China,CHN,1,4,0,0,0,5,5,0.0,283559.777103249,0.0,0.0,0.0,283559.777103249,283559.777103249,0.0,3111.06378038155,0.0,0.0,0.0,3111.06378038155,3111.06378038155,252566
2036,2024/10/22 00:00:00+00,2024,10,22,port1105,Rizhao,China,CHN,4,3,0,0,0,7,7,2385.59619899882,256584.060947672,0.0,0.0,0.0,258969.657146671,258969.657146671,21323.5257027793,0.0,0.0,0.0,0.0,21323.5257027793,21323.5257027793,252565
2035,2024/10/21 00:00:00+00,2024,10,21,port1105,Rizhao,China,CHN,1,3,1,0,0,5,5,0.0,109323.990728253,0.0,0.0,0.0,109323.990728253,109323.990728253,361.44858822839,0.0,9630.47616971185,0.0,0.0,9991.92475794024,9991.92475794024,252564
2034,2024/10/20 00:00:00+00,2024,10,20,port1105,Rizhao,China,CHN,4,5,1,0,0,10,10,4193.39515380613,409364.073911802,0.0,0.0,0.0,413557.469065608,413557.469065608,3475.79461896734,0.0,0.0,0.0,0.0,3475.79461896734,3475.79461896734,252563
2033,2024/10/19 00:00:00+00,2024,10,19,port1105,Rizhao,China,CHN,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252562
2032,2024/10/18 00:00:00+00,2024,10,18,port1105,Rizhao,China,CHN,2,1,0,0,0,3,3,1685.86944147797,28121.8927131436,0.0,0.0,0.0,29807.7621546215,29807.7621546215,731.89462422824,0.0,0.0,0.0,0.0,731.89462422824,731.89462422824,252561
2031,2024/10/17 00:00:00+00,2024,10,17,port1105,Rizhao,China,CHN,0,3,1,0,0,4,4,0.0,149342.460545999,0.0,0.0,0.0,149342.460545999,149342.460545999,0.0,0.0,795.897345779373,0.0,0.0,795.897345779373,795.897345779373,252560
2030,2024/10/16 00:00:00+00,2024,10,16,port1105,Rizhao,China,CHN,1,2,1,0,1,4,5,796.6390240267,80577.3051173728,0.0,0.0,0.0,81373.9441413995,81373.9441413995,853.618323742719,43739.6331284219,2103.11996588477,0.0,0.0,46696.3714180494,46696.3714180494,252559
2029,2024/10/15 00:00:00+00,2024,10,15,port1105,Rizhao,China,CHN,2,6,2,0,0,10,10,489.176463018011,182201.121145722,629.547609419243,0.0,0.0,183319.84521816,183319.84521816,5423.60938770019,12825.2400671307,1695.90125890833,0.0,0.0,19944.7507137392,19944.7507137392,252558
2028,2024/10/14 00:00:00+00,2024,10,14,port1105,Rizhao,China,CHN,0,3,1,0,0,4,4,0.0,156195.042406284,0.0,0.0,0.0,156195.042406284,156195.042406284,0.0,0.0,3931.52229883341,0.0,0.0,3931.52229883341,3931.52229883341,252557
2027,2024/10/13 00:00:00+00,2024,10,13,port1105,Rizhao,China,CHN,2,3,0,0,1,5,6,0.0,77201.867124246,0.0,0.0,0.0,77201.867124246,77201.867124246,8694.91741753046,657.677026700025,0.0,0.0,0.0,9352.59444423048,9352.59444423048,252556
2024,2024/10/12 00:00:00+00,2024,10,12,port1105,Rizhao,China,CHN,0,4,1,0,0,5,5,0.0,215706.408604994,0.0,0.0,0.0,215706.408604994,215706.408604994,0.0,575.296750126347,1623.04536154621,0.0,0.0,2198.34211167256,2198.34211167256,252550
2021,2024/10/11 00:00:00+00,2024,10,11,port1105,Rizhao,China,CHN,3,6,0,1,0,10,10,794.031187351764,216934.93214794,0.0,0.0,0.0,217728.963335292,217728.963335292,4309.39133495706,21033.3145898913,0.0,770.445427926914,0.0,26113.1513527753,26113.1513527753,252544
2018,2024/10/10 00:00:00+00,2024,10,10,port1105,Rizhao,China,CHN,3,3,0,0,0,6,6,0.0,215784.613320104,0.0,0.0,0.0,215784.613320104,215784.613320104,9242.86006791097,0.0,0.0,0.0,0.0,9242.86006791097,9242.86006791097,252533
1971,2024/10/09 00:00:00+00,2024,10,9,port1105,Rizhao,China,CHN,1,3,2,0,0,6,6,0.0,171963.118899602,0.0,0.0,0.0,171963.118899602,171963.118899602,2088.41829627358,3111.06378038155,30463.7704979588,0.0,0.0,35663.252574614,35663.252574614,252486
1967,2024/10/08 00:00:00+00,2024,10,8,port1105,Rizhao,China,CHN,0,6,0,0,0,6,6,0.0,303027.513918592,0.0,0.0,0.0,303027.513918592,303027.513918592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252479
1964,2024/10/07 00:00:00+00,2024,10,7,port1105,Rizhao,China,CHN,2,4,0,0,0,6,6,0.0,190640.950474326,0.0,0.0,0.0,190640.950474326,190640.950474326,4195.9768203076,0.0,0.0,0.0,0.0,4195.9768203076,4195.9768203076,252473
1961,2024/10/06 00:00:00+00,2024,10,6,port1105,Rizhao,China,CHN,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252467
